,Kejahatan atau Kekerasan atau Menggangu terhadap orang lain (Sikap atau sifat dari hati termasuk dengki - iri - hasud - fitnah - sombong dan lainnya - termasuk kejahatan sihir dan juga termasuk konflik antar warga atau Perang antar negara serta lainnya),Pencurian dan Perampokan serta Penipuan dan pemalsuan,Pelanggaran Korupsi - Kolusi - dan Nepotisme (KKN),Kasus Asusila,Pengerusakan fasilitas Negara,Pelanggaran terhadap BPOM (Obat dan Makanan),Pelanggaran lalu lintas,Bantuan dan Jaminan Tempat tinggal yang layak,Tunjangan dan Peningkatan kualitas pendidikan dasar sampai kampus dan pendidikan keagamaan di bawah kemenag,Kemudahan akses air bersih,Subsidi dan Peningkatan Jaminan Kesehatan,Peningkatan Kemandirian Ekonomi dan Pangan,Peningkatan Kesejahteran dan Pelatihan Ekonomi Kreatif,Turunnya dan Stabilnya Harga Kebutuhan Pokok,Peningkatan Lapangan Kerja untuk Meminimalkan Pengangguran dan Kemiskinan,Gempa Bumi atau Likuifaksi tanah atau Likuifaksi gempa,Tanah Longsor,Banjir,Gunung Meletus,Tsunami Pantai,Kekeringan - Kebakaran dan Pemanasan Global,Tsunami Langit (Asteroid - Tabrakan antar Galaxy - Badai Matahari),Angin Topan dan Angin lainnya yang merusak,Serangan Hama atau Hewan,Badai Salju
0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.75,0.75,0.75,0.75,0.75,0.8,0.8,0.8,0.05,0.0,0.0,0.15,0.0,0.1,0.1,0.05,0.1,0.0
1,0.05,0.05,0.0,0.0,0.0,0.0,0.05,0.75,0.75,0.75,0.75,0.75,0.8,0.8,0.75,0.05,0.05,0.0,0.0,0.0,0.05,0.1,0.1,0.1,0.0
2,0.1,0.1,0.05,0.05,0.05,0.1,0.1,0.8,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.15,0.1,0.15,0.05,0.0,0.0,0.15,0.1,0.15,0.0
3,0.1,0.1,0.05,0.05,0.1,0.1,0.1,0.8,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.15,0.05,0.05,0.05,0.0,0.0,0.05,0.05,0.1,0.0
4,0.0,0.1,0.0,0.0,0.0,0.0,0.1,0.75,0.75,0.75,0.75,0.75,0.8,0.75,0.75,0.1,0.1,0.1,0.05,0.05,0.1,0.0,0.1,0.1,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.75,0.75,0.75,0.75,0.75,0.85,0.75,0.75,0.15,0.0,0.05,0.0,0.05,0.0,0.05,0.05,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.25,0.5,0.25,0.25,0.25,0.25,0.5,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,1.0,1.0,0.75,0.25,0.0,0.75,0.0,1.0,1.0,0.0
8,0.25,0.5,0.25,0.25,0.25,0.25,1.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.75,1.0,0.0,0.0,0.0,1.0,0.5,0.75,0.0,0.0
9,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,1.0,1.0,0.5,0.0,0.0,0.0,0.75,0.5,0.5,0.0
10,0.25,0.25,0.25,0.25,0.25,0.25,1.0,0.05,0.0,0.0,0.0,0.0,0.05,0.0,0.0,1.0,0.0,1.0,0.0,0.5,0.5,0.5,0.0,0.75,0.0
11,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.05,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.75,0.75,0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0
12,0.5,0.5,0.25,0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,1.0,1.0,1.0,0.0,0.5,1.0,0.0,1.0,1.0,0.0
13,0.25,1.0,1.0,0.25,0.25,0.25,0.5,0.0,0.0,0.0,0.2,0.2,0.2,0.1,0.1,1.0,0.75,1.0,0.5,0.5,0.75,1.0,1.0,1.0,0.0
14,0.25,0.5,0.25,0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.05,0.05,0.05,0.0,0.75,0.75,1.0,0.5,0.75,1.0,0.75,0.5,1.0,0.0
15,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.0
16,0.25,0.5,0.25,0.25,0.25,0.25,0.5,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,1.0,0.0,1.0,0.0,0.5,1.0,1.0,0.0,0.0,0.0
17,0.25,0.5,0.25,0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.75,0.5,0.5,0.0,0.0,0.0,0.5,0.0,0.75,0.0
18,0.25,1.0,0.5,0.25,0.25,0.5,0.5,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.75,0.0,0.0
19,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.1,0.05,0.0,0.5,0.5,0.75,0.0,0.0,0.5,0.5,0.5,0.75,0.0
20,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.05,0.05,0.05,0.75,1.0,0.75,0.0,0.0,0.5,0.75,0.75,0.75,0.0
21,1.0,0.25,0.25,0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,1.0,0.75,1.0,0.0,0.75,1.0,1.0,0.0,0.1
22,0.25,0.25,0.25,0.25,0.25,0.25,1.0,0.0,0.0,0.05,0.0,0.0,0.05,0.0,0.0,0.0,0.75,0.25,0.25,0.25,0.25,0.25,0.0,0.0,0.0
23,0.25,0.5,0.25,0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.05,0.05,0.05,0.05,0.05,0.75,1.0,0.5,0.0,0.0,0.75,0.75,1.0,0.0,0.0
24,0.25,0.25,0.25,0.25,0.25,0.25,0.5,0.0,0.0,0.0,0.0,0.0,0.05,0.05,0.0,1.0,0.5,1.0,0.0,0.0,0.0,0.5,0.5,1.0,0.0
25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.05,0.05,0.0,0.0,0.25,0.25,0.0,0.25,0.25,0.25,0.25,0.25,0.0
26,0.25,0.5,0.25,0.25,0.25,0.25,0.5,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.75,0.75,0.0,0.0,0.0,0.75,0.0,0.75,0.0
27,0.25,1.0,0.25,0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,1.0,0.75,0.75,0.0,0.0,1.0,0.5,1.0,0.0,0.0
28,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.75,0.75,1.0,1.0,0.0
29,0.0,0.5,0.25,0.25,0.25,0.25,0.5,0.0,0.1,0.0,0.0,0.0,0.05,0.05,0.05,0.75,0.75,1.0,0.5,1.0,0.75,0.75,0.75,0.75,0.0
30,0.25,1.0,0.25,0.25,0.25,0.25,0.5,0.0,0.0,0.0,0.0,0.1,0.05,0.0,0.0,1.0,0.5,0.75,0.0,0.0,0.0,0.5,0.5,0.5,0.0
31,0.5,0.25,0.25,0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.05,0.05,0.1,0.05,0.1,0.5,0.5,0.75,0.0,0.0,0.0,0.5,0.5,0.0,0.0
